Organism,Accession,Type&Status,Download_Ftp
Aphelenchoides_fragariae,SRS3320023,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-13/SRR7187356/SRR7187356.1
Ascaridia_galli,SRS5400353,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10134453/SRR10134453.1
Cooperia_punctata,SRS4459542,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8691082/SRR8691082.1
Gnathostoma_spinigerum,SRS3998458,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8137628/SRR8137628.1
Halomonhystera_disjuncta,SRS748703,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1657930/SRR1657930.1
Neocamacolaimus_parasiticus,SRS8406880,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR13895039/SRR13895039.1
Poikilolaimus_oxycercus,SRS2523288,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6049087/SRR6049087.1
Trichostrongylus_colubriformis,SRS5400356,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10134459/SRR10134459.1
Plectus_sambesii,SRS4078035,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR8243962/SRR8243962.1
Bunonema_sp,SRS7176506,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR12424049/SRR12424049.1
Pristionchus_pacificus,SRS1608351,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4017216/SRR4017216.1
Caenorhabditis_elegans,SRS5294341,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-17/SRR1000518/SRR10005188.1
Ascaris_suum,SRS3188695,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-13/SRR7026131/SRR7026131.1
Brugia_malayi,SRS5176347,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-17/SRR9858316/SRR9858316.1
Acrobeloides_nanus,SRS1818667,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5262294/SRR5262294.1
Steinernema_feltiae,SRS7622117,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR12951199/SRR12951199.1
Meloidogyne_incognita,SRS4460030,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8691589/SRR8691589.1
Angiostrongylus_cantonensis,SRS2803151,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-13/SRR6435988/SRR6435988.1
Haemonchus_contortus,SRS2716849,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6325479/SRR6325479.1
Pontonema_vulgare,SRS4026190,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR8169837/SRR8169837.1
Trichinella_spiralis,SRS4151078,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8327925/SRR8327925.1
Trichuris_suis,SRS2763989,RNA-Seq-TRANSCRIPTOMIC,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6384291/SRR6384291.1
